FUN_000619-T1	note	BUSCO:EOG0926004Z
FUN_001191-T1	note	BUSCO:EOG09260075
FUN_001446-T1	note	BUSCO:EOG0926009O
FUN_003170-T1	note	BUSCO:EOG092600NM
FUN_000775-T1	note	BUSCO:EOG092600S9
FUN_008445-T1	note	BUSCO:EOG092600SD
FUN_004391-T1	note	BUSCO:EOG092600SK
FUN_001939-T1	note	BUSCO:EOG092600T4
FUN_010420-T1	note	BUSCO:EOG092600T9
FUN_003200-T1	note	BUSCO:EOG092600W1
FUN_001760-T1	note	BUSCO:EOG092600XJ
FUN_006902-T1	note	BUSCO:EOG092601KZ
FUN_003830-T1	note	BUSCO:EOG092601YK
FUN_002247-T1	note	BUSCO:EOG0926025H
FUN_004312-T1	note	BUSCO:EOG09260274
FUN_000172-T1	note	BUSCO:EOG09260289
FUN_002921-T1	note	BUSCO:EOG092602BZ
FUN_011386-T1	note	BUSCO:EOG092602FH
FUN_000527-T1	note	BUSCO:EOG092602I6
FUN_002298-T1	note	BUSCO:EOG092602MO
FUN_004352-T1	note	BUSCO:EOG092602OP
FUN_010286-T1	note	BUSCO:EOG092602UY
FUN_004793-T1	note	BUSCO:EOG09260375
FUN_006937-T1	note	BUSCO:EOG092603D0
FUN_004342-T1	note	BUSCO:EOG092603EH
FUN_001462-T1	note	BUSCO:EOG092603JK
FUN_001449-T1	note	BUSCO:EOG092603KJ
FUN_004419-T1	note	BUSCO:EOG092603SM
FUN_011291-T1	note	BUSCO:EOG092603YJ
FUN_010127-T1	note	BUSCO:EOG0926047G
FUN_001552-T1	note	BUSCO:EOG09260492
FUN_008418-T1	note	BUSCO:EOG0926049A
FUN_003222-T1	note	BUSCO:EOG0926049S
FUN_003846-T1	note	BUSCO:EOG092604A0
FUN_003848-T1	note	BUSCO:EOG092604I8
FUN_000067-T1	note	BUSCO:EOG092604KQ
FUN_005383-T1	note	BUSCO:EOG092604MJ
FUN_001447-T1	note	BUSCO:EOG092604ML
FUN_003240-T1	note	BUSCO:EOG092604S1
FUN_002973-T1	note	BUSCO:EOG092604ZZ
FUN_000615-T1	note	BUSCO:EOG0926051U
FUN_006744-T1	note	BUSCO:EOG092605FC
FUN_003216-T1	note	BUSCO:EOG092605KN
FUN_005528-T1	note	BUSCO:EOG092605OK
FUN_011677-T1	note	BUSCO:EOG092605QM
FUN_001347-T1	note	BUSCO:EOG092605T6
FUN_002881-T1	note	BUSCO:EOG092605VL
FUN_009537-T1	note	BUSCO:EOG092605VU
FUN_006566-T1	note	BUSCO:EOG092605ZA
FUN_002988-T1	note	BUSCO:EOG092606AD
FUN_003633-T1	note	BUSCO:EOG092606AJ
FUN_006853-T1	note	BUSCO:EOG092606CY
FUN_000655-T1	note	BUSCO:EOG092606O3
FUN_002866-T1	note	BUSCO:EOG092606UX
FUN_005011-T1	note	BUSCO:EOG092606WZ
FUN_011510-T1	note	BUSCO:EOG0926071Q
FUN_004719-T1	note	BUSCO:EOG0926073O
FUN_008417-T1	note	BUSCO:EOG0926074Y
FUN_003030-T1	note	BUSCO:EOG09260779
FUN_007978-T1	note	BUSCO:EOG0926077L
FUN_004979-T1	note	BUSCO:EOG0926079Q
FUN_000631-T1	note	BUSCO:EOG092607OQ
FUN_010067-T1	note	BUSCO:EOG092607QZ
FUN_011334-T1	note	BUSCO:EOG092607ZS
FUN_006552-T1	note	BUSCO:EOG092608AE
FUN_004541-T1	note	BUSCO:EOG092608AV
FUN_000395-T1	note	BUSCO:EOG092608C4
FUN_011509-T1	note	BUSCO:EOG092608GK
FUN_008169-T1	note	BUSCO:EOG092608L0
FUN_010448-T1	note	BUSCO:EOG092608RH
FUN_009535-T1	note	BUSCO:EOG092608T8
FUN_010481-T1	note	BUSCO:EOG092608WI
FUN_002410-T1	note	BUSCO:EOG092608WU
